instance, MC, CC, Logarithmic, ZigZag, ZigZagInteger
558_1_1_1, 181.906993282, 180.029019048, 24.994951822, 51.319240268, 47.818463525
558_1_1_2, 180.03941952, 180.013144388, 180.0069833, 180.012326013, 180.011908759
558_1_1_3, 180.036655796, 180.013559858, 62.222686006, 59.87728818, 58.503302255
558_1_1_4, 180.034971339, 180.031429283, 79.027452537, 60.556646577, 79.324508891
558_1_1_5, 180.03555809, 180.022943727, 80.959652285, 68.26065752, 32.46266809
558_1_1_6, 67.085130335, 180.01199033, 22.788520254, 28.354221395, 29.141290581
558_1_1_7, 180.03104854, 180.018447242
